,a,b,c,d,e,f,g,h,i,j
0,982,787,642,102,149,267,860,204,986,546
1,92,805,130,96,66,915,977,587,52,218
2,775,200,791,960,469,906,478,122,687,977
3,846,410,53,699,680,438,818,453,308,765
4,890,666,936,654,568,530,1,773,402,27
5,117,402,372,427,659,734,151,805,579,709
6,544,200,488,33,250,752,757,766,429,799
7,642,524,521,28,322,840,432,802,183,248
8,509,485,523,96,864,856,160,786,986,779
9,358,626,168,456,485,223,496,226,977,24
10,466,853,842,195,574,771,630,584,387,870
11,415,552,74,33,112,350,686,969,472,689
12,199,144,36,683,644,928,849,101,965,454
13,950,469,944,777,197,141,973,289,81,463
14,229,943,35,894,519,774,871,843,207,228
15,963,994,866,727,493,867,17,921,307,756
16,525,806,129,609,285,532,265,137,386,229
17,304,879,985,600,25,765,837,319,362,713
18,100,334,711,23,988,894,34,495,280,973
19,243,450,592,536,282,434,769,766,441,395
20,91,138,288,515,600,411,47,447,875,835
21,608,71,293,771,371,611,15,89,482,145
22,991,17,838,986,419,217,361,691,857,110
23,586,358,945,696,405,250,204,647,994,713
24,598,405,745,382,824,373,780,627,662,911
25,989,868,826,675,47,273,280,867,735,37
26,819,852,20,682,298,724,621,47,760,880
27,6,119,831,6,878,264,974,182,510,727
28,783,50,205,885,26,661,310,234,442,6
29,512,2,449,379,650,553,132,838,253,170
30,240,123,900,330,808,39,655,552,62,146
31,494,389,969,982,653,865,948,21,34,628
32,960,7,459,496,81,909,781,228,195,106
33,819,796,66,18,321,454,484,224,762,336
34,12,299,812,925,404,530,781,317,920,818
35,103,722,344,130,977,728,385,883,707,125
36,299,46,447,192,848,723,228,551,12,754
37,89,363,635,91,83,235,376,447,944,547
38,750,533,431,704,198,588,754,794,312,879
39,632,72,444,285,932,295,741,821,471,596
40,895,565,220,118,45,912,476,813,8,396
41,987,15,238,391,982,815,641,843,437,415
42,724,216,846,45,132,54,26,705,558,929
43,127,822,675,274,599,579,919,288,369,514
44,105,21,428,446,795,216,875,213,921,907
45,787,506,299,208,945,368,624,687,942,323
46,14,415,117,754,253,131,143,839,370,542
47,601,425,760,501,218,443,548,152,198,431
48,547,77,97,438,627,86,454,143,149,642
49,965,26,982,231,810,833,658,343,129,663
50,646,370,325,411,888,191,662,818,461,368
51,60,92,963,108,777,504,345,178,23,575
52,354,773,147,821,987,589,21,941,506,320
53,548,977,665,700,257,269,208,394,681,691
54,682,381,754,623,577,567,293,43,273,678
55,599,293,370,438,394,996,610,421,106,866
56,543,948,152,438,919,698,949,863,414,319
57,491,128,876,76,203,216,575,161,561,594
58,915,303,608,967,180,520,409,776,996,914
59,430,981,679,520,711,239,602,296,775,869
60,747,684,775,444,281,699,416,572,224,920
61,827,616,844,947,485,671,392,250,658,855
62,866,490,68,193,47,661,359,116,427,49
63,251,255,653,880,406,329,454,67,231,493
64,15,555,320,926,23,699,558,25,602,879
65,301,699,813,817,902,285,170,361,166,280
66,91,957,50,619,269,445,965,833,538,968
67,984,610,477,969,480,400,328,717,193,277
68,416,840,131,783,640,494,857,936,832,666
69,383,215,803,355,845,838,490,884,321,94
70,987,940,212,847,704,797,158,274,531,555
71,396,645,661,873,557,127,601,634,417,857
72,995,993,408,482,731,880,3,688,234,466
73,53,476,739,955,706,570,81,24,172,208
74,898,513,1,612,48,137,538,452,312,827
75,264,779,559,238,659,461,627,632,550,487
76,762,397,228,136,314,874,393,729,99,128
77,346,989,578,557,479,200,520,123,823,201
78,832,735,380,771,328,663,534,27,746,440
79,822,458,451,149,493,88,143,755,297,993
80,56,692,213,540,726,502,370,939,931,309
81,896,791,703,82,772,254,174,961,145,711
82,463,416,397,873,127,922,909,193,506,349
83,561,796,596,18,410,371,218,489,548,524
84,318,518,301,239,378,162,125,977,471,575
85,143,241,874,68,84,463,645,466,321,13
86,608,35,135,264,176,62,149,860,818,255
87,972,725,116,211,259,348,831,364,778,583
88,195,856,70,597,743,885,607,382,811,311
89,666,724,436,429,268,289,740,305,641,259
90,497,147,141,756,557,439,974,675,882,963
91,291,588,96,194,173,379,761,810,737,200
92,265,813,826,61,380,64,549,897,158,130
93,586,958,182,986,813,537,110,98,589,299
94,613,193,437,117,101,414,888,216,670,178
95,968,509,13,6,159,881,584,807,904,949
96,383,743,863,3,306,198,867,17,105,575
97,543,754,362,704,834,663,351,396,283,465
98,550,421,996,299,241,871,540,224,344,147
99,455,28,328,734,20,390,425,212,556,603
100,715,297,771,328,720,90,36,299,668,935
101,453,481,84,128,299,864,194,749,860,598
102,420,790,687,628,336,477,26,38,17,572
103,892,826,989,378,7,147,418,588,93,23
104,211,344,467,217,155,221,180,418,388,315
105,787,447,916,814,45,157,139,964,511,650
106,979,980,520,348,691,963,708,810,168,687
107,232,237,65,39,965,107,142,879,825,176
108,248,594,301,422,819,863,575,235,305,586
109,419,511,354,544,197,220,340,482,309,477
110,452,825,919,893,508,91,105,195,491,817
111,520,672,218,170,929,343,642,664,330,882
112,471,496,481,829,687,841,562,592,536,383
113,453,54,898,850,672,996,158,806,582,848
114,867,937,991,599,446,517,750,658,91,577
115,753,825,518,0,581,525,303,514,891,100
116,521,241,133,211,935,498,54,133,507,926
117,632,867,721,917,526,574,721,158,95,81
118,605,87,528,686,288,944,809,81,571,365
119,177,524,33,125,445,505,609,692,925,87
120,498,910,312,400,893,541,151,20,496,462
121,605,249,829,904,205,316,420,86,615,888
122,846,674,479,313,305,379,752,499,929,181
123,633,850,406,666,140,371,192,213,757,554
124,278,421,326,677,593,218,344,566,864,730
125,472,954,629,639,463,699,220,335,32,177
126,347,706,919,104,252,636,32,122,145,215
127,564,176,999,915,729,25,531,524,668,200
128,635,323,884,180,420,476,915,364,423,187
129,780,913,606,459,565,597,580,60,736,455
130,472,719,546,407,188,467,901,735,964,734
131,618,755,826,2,84,595,950,187,61,836
132,664,455,921,225,302,455,790,194,346,716
133,677,578,151,481,163,736,721,844,640,449
134,536,738,232,327,674,539,305,387,458,950
135,406,85,264,828,619,93,367,898,365,808
136,375,898,856,177,244,647,152,639,819,806
137,705,700,789,539,34,182,352,186,957,530
138,35,413,191,492,151,70,856,743,411,405
139,650,298,840,887,760,249,420,32,867,546
140,62,911,170,582,30,330,885,332,298,814
141,945,70,870,42,384,68,924,745,351,686
142,750,857,378,525,320,307,486,577,937,528
143,493,51,223,918,489,709,244,47,682,186
144,952,892,524,139,216,479,841,870,836,965
145,913,134,361,94,118,889,997,713,301,159
146,404,169,911,224,874,23,865,496,861,605
147,631,22,709,880,525,669,565,306,211,897
148,273,276,81,378,317,976,869,479,370,277
149,456,57,715,407,146,449,216,70,762,96
150,735,416,62,318,913,912,153,107,17,144
151,451,57,175,615,228,615,334,689,190,576
152,222,195,408,479,163,536,988,744,400,195
153,705,886,964,397,186,195,39,244,864,630
154,697,502,742,87,585,997,81,417,319,507
155,410,977,255,538,633,321,830,255,508,429
156,349,716,968,683,664,435,690,358,875,574
157,81,258,13,434,877,358,14,660,810,22
158,449,546,592,966,247,492,562,120,362,324
159,825,860,493,853,184,257,833,409,780,798
160,281,881,511,796,751,157,535,940,711,548
161,965,911,522,941,289,375,207,150,890,102
162,250,311,11,628,697,135,663,608,664,708
163,527,972,895,342,660,448,144,139,711,701
164,616,552,341,667,401,479,266,544,735,167
165,745,9,157,728,32,902,225,747,178,436
166,669,644,837,599,378,443,12,284,117,317
167,475,950,39,312,306,850,515,828,433,541
168,991,318,822,848,935,922,384,186,710,494
169,83,257,779,251,492,753,345,55,43,109
170,929,26,168,361,17,335,982,971,985,826
171,914,374,539,974,105,582,79,767,502,853
172,340,266,123,848,59,249,488,759,542,281
173,411,451,954,891,120,660,24,658,402,653
174,19,806,666,743,483,802,789,694,27,476
175,997,709,376,329,660,787,381,10,159,423
176,655,995,575,848,308,883,151,735,915,917
177,129,82,633,90,223,962,941,761,847,967
178,322,863,318,761,380,264,384,875,579,780
179,859,490,500,321,841,82,276,728,377,999
180,568,555,566,736,896,910,940,405,179,813
181,816,752,413,677,295,591,327,811,707,158
182,326,328,200,791,396,452,271,471,804,586
183,92,256,672,952,969,873,442,989,960,879
184,129,868,427,147,550,279,461,808,894,933
185,789,556,228,110,508,288,738,151,167,226
186,773,587,733,900,195,100,185,512,759,636
187,88,170,499,109,873,307,676,289,314,282
188,437,503,118,946,777,298,613,873,307,940
189,228,551,345,447,278,435,125,317,633,275
190,287,498,230,762,846,214,986,116,646,538
191,406,917,358,990,463,359,529,278,996,403
192,60,614,755,233,24,7,17,603,137,206
193,156,677,914,575,74,236,633,979,58,663
194,623,869,106,860,791,551,583,596,181,846
195,116,827,784,746,808,747,65,324,951,313
196,588,205,234,823,240,38,413,107,593,539
197,834,956,272,64,121,573,39,788,758,283
198,325,809,829,164,737,193,18,556,670,579
199,523,382,934,730,273,4,878,523,184,172
200,332,829,828,474,589,725,781,495,355,283
201,877,815,65,362,982,326,856,899,650,378
202,372,79,422,287,247,387,136,572,346,649
203,749,351,563,886,420,696,116,770,442,744
204,164,926,526,504,57,111,798,494,900,80
205,778,463,769,876,527,422,325,460,372,728
206,784,511,408,553,161,176,932,612,294,667
207,796,448,260,716,523,747,681,602,657,473
208,346,297,917,736,794,536,332,992,980,349
209,779,817,459,756,718,688,197,452,592,984
210,302,500,361,494,478,444,732,220,366,134
211,48,58,776,845,319,715,168,604,804,566
212,626,642,734,971,719,531,102,153,587,300
213,847,239,337,640,351,718,167,738,11,802
