,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
3000,2,2015-06-02 11:25:49,2015-06-02 11:31:40,2,1.04,-73.95986938476561,40.776073455810554,1,N,-73.95004272460938,40.78716278076172,2,6.0,0.0,0.5,0.0,0.0,0.3,6.8
3001,1,2015-06-02 11:25:50,2015-06-02 11:34:24,1,0.7,-73.947265625,40.776123046875,1,N,-73.95895385742188,40.780467987060554,1,7.0,0.0,0.5,1.0,0.0,0.3,8.8
3002,2,2015-06-02 11:25:50,2015-06-02 11:35:18,1,0.95,-73.99331665039062,40.75212860107422,1,N,-73.9958724975586,40.743751525878906,1,7.5,0.0,0.5,1.66,0.0,0.3,9.96
3003,2,2015-06-02 11:25:52,2015-06-02 11:34:47,1,1.04,-73.96582794189453,40.768081665039055,1,N,-73.9609375,40.77792739868164,2,7.0,0.0,0.5,0.0,0.0,0.3,7.8
3004,2,2015-06-02 11:25:53,2015-06-02 11:42:44,1,1.99,-73.98663330078125,40.72566223144531,1,N,-73.97268676757811,40.75009536743164,1,12.0,0.0,0.5,2.56,0.0,0.3,15.36
3005,1,2015-06-02 11:25:53,2015-06-02 11:44:07,1,1.6,-73.95482635498048,40.7803955078125,1,N,-73.96439361572266,40.760269165039055,2,12.5,0.0,0.5,0.0,0.0,0.3,13.3
3006,2,2015-06-02 11:25:54,2015-06-02 11:32:36,5,0.44,-73.98375701904298,40.743511199951165,1,N,-73.97808074951173,40.74536895751953,1,5.5,0.0,0.5,1.0,0.0,0.3,7.3
3007,1,2015-06-02 11:25:54,2015-06-02 11:30:40,1,0.5,-73.98426055908203,40.75498962402344,1,N,-73.9776840209961,40.75879287719727,2,5.0,0.0,0.5,0.0,0.0,0.3,5.8
3008,2,2015-06-02 11:25:56,2015-06-02 12:27:00,2,17.03,-73.79039764404298,40.64411544799805,2,N,-73.97928619384764,40.748699188232415,1,52.0,0.0,0.5,4.0,5.54,0.3,62.34
3009,1,2015-06-02 11:25:57,2015-06-02 11:36:16,1,0.3,-73.97953033447266,40.7458381652832,1,N,-73.9836654663086,40.7467041015625,2,7.5,0.0,0.5,0.0,0.0,0.3,8.3
3010,1,2015-06-02 11:25:58,2015-06-02 11:56:03,1,2.8,-73.9957275390625,40.75915145874024,1,N,-73.9578628540039,40.76531982421875,1,19.0,0.0,0.5,4.95,0.0,0.3,24.75
3011,2,2015-06-02 11:25:58,2015-06-02 11:39:06,1,1.22,-73.99653625488281,40.73240280151367,1,N,-74.00294494628906,40.718482971191406,2,9.0,0.0,0.5,0.0,0.0,0.3,9.8
3012,2,2015-06-02 11:25:59,2015-06-02 11:32:37,6,1.63,-73.9631118774414,40.79893493652344,1,N,-73.97795867919923,40.77864837646485,1,7.0,0.0,0.5,1.56,0.0,0.3,9.36
3013,1,2015-06-02 11:26:00,2015-06-02 11:46:39,1,1.7,-73.97928619384764,40.78458023071289,1,N,-73.95394897460938,40.77912521362305,2,12.5,0.0,0.5,0.0,0.0,0.3,13.3
3014,2,2015-06-02 11:26:01,2015-06-02 11:46:48,5,1.53,-73.97310638427734,40.75605010986328,1,N,-73.99183654785155,40.75018310546875,2,13.5,0.0,0.5,0.0,0.0,0.3,14.3
3015,1,2015-06-02 11:26:02,2015-06-02 11:38:41,1,2.2,-73.95870208740233,40.780864715576165,1,N,-73.96328735351561,40.80374526977539,2,10.5,0.0,0.5,0.0,0.0,0.3,11.3
3016,2,2015-06-02 11:26:02,2015-06-02 11:34:11,1,3.37,-73.98554229736328,40.72208404541016,1,N,-74.01154327392578,40.70376586914063,1,12.0,0.0,0.5,2.56,0.0,0.3,15.36
3017,1,2015-06-02 11:26:03,2015-06-02 11:43:19,1,2.0,-73.98194122314453,40.77873992919922,1,N,-73.98778533935547,40.751346588134766,1,12.0,0.0,0.5,3.2,0.0,0.3,16.0
3018,2,2015-06-02 11:26:04,2015-06-02 12:03:19,6,9.58,-73.86301422119139,40.76909637451172,1,N,-73.95615386962889,40.76695251464844,1,33.0,0.0,0.5,7.87,5.54,0.3,47.21
3019,2,2015-06-02 11:26:05,2015-06-02 11:55:34,1,4.59,-73.95960235595702,40.80876159667969,1,N,-73.98088836669923,40.75321960449219,1,20.5,0.0,0.5,3.0,0.0,0.3,24.3
3020,1,2015-06-02 11:26:05,2015-06-02 11:49:50,1,8.3,-73.94762420654298,40.78376770019531,1,N,-74.01481628417967,40.70947647094727,1,26.5,0.0,0.5,3.25,0.0,0.3,30.55
3021,2,2015-06-02 11:26:06,2015-06-02 11:42:12,5,2.25,-74.00537872314453,40.708961486816406,1,N,-73.98533630371094,40.732688903808594,2,12.0,0.0,0.5,0.0,0.0,0.3,12.8
3022,1,2015-06-02 11:26:07,2015-06-02 11:35:37,1,1.0,-73.9688720703125,40.76998901367188,1,N,-73.97891998291014,40.756004333496094,2,8.0,0.0,0.5,0.0,0.0,0.3,8.8
3023,2,2015-06-02 11:26:07,2015-06-02 11:53:27,1,1.95,-73.99720001220702,40.746875762939446,1,N,-73.9766082763672,40.76413345336913,1,16.5,0.0,0.5,3.46,0.0,0.3,20.76
3024,2,2015-06-02 11:26:08,2015-06-02 11:42:21,1,5.44,-73.86284637451173,40.76900100708008,1,N,-73.82968902587889,40.7819709777832,1,19.0,0.0,0.5,4.95,0.0,0.3,24.75
3025,2,2015-06-02 11:26:09,2015-06-02 11:45:29,5,2.93,-73.95320129394531,40.7856559753418,1,N,-73.98439788818358,40.768165588378906,2,14.5,0.0,0.5,0.0,0.0,0.3,15.3
3026,2,2015-06-02 11:26:09,2015-06-02 11:50:01,1,3.18,-73.98863220214844,40.74329376220703,1,N,-74.00995635986328,40.72113037109375,1,16.5,0.0,0.5,2.0,0.0,0.3,19.3
3027,2,2015-06-02 11:26:11,2015-06-02 11:30:10,3,0.82,-73.98695373535155,40.76119613647461,1,N,-73.98249053955078,40.77090835571289,1,5.0,0.0,0.5,0.0,0.0,0.3,5.8
3028,2,2015-06-02 11:26:12,2015-06-02 11:42:00,1,1.29,-73.96989440917967,40.75404357910156,1,N,-73.95580291748048,40.7661361694336,1,10.5,0.0,0.5,2.26,0.0,0.3,13.56
3029,1,2015-06-02 11:26:12,2015-06-02 11:50:23,2,2.6,-73.97164154052734,40.75764465332031,1,N,-73.99653625488281,40.72597503662109,1,16.0,0.0,0.5,3.36,0.0,0.3,20.16
3030,2,2015-06-02 11:26:13,2015-06-02 11:29:43,1,0.46,-73.98052215576173,40.73764419555664,1,N,-73.97445678710938,40.73671722412109,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8
3031,1,2015-06-02 11:26:14,2015-06-02 11:56:44,1,3.2,-74.0019302368164,40.74582290649414,1,N,-74.01174926757811,40.70838165283203,1,20.0,0.0,0.5,2.08,0.0,0.3,22.88
3032,1,2015-06-02 11:26:14,2015-06-02 11:35:41,1,5.3,-73.9768829345703,40.74324798583984,1,N,-74.01392364501953,40.7085075378418,1,16.5,0.0,0.5,1.0,0.0,0.3,18.3
3033,2,2015-06-02 11:26:16,2015-06-02 11:41:59,2,2.69,-73.99311065673827,40.72211837768555,1,N,-73.99302673339844,40.692909240722656,1,13.5,0.0,0.5,2.86,0.0,0.3,17.16
3034,1,2015-06-02 11:26:16,2015-06-02 12:00:23,1,3.8,-73.99192047119139,40.73842239379882,1,N,-73.96175384521484,40.77941131591797,2,21.5,0.0,0.5,0.0,0.0,0.3,22.3
3035,2,2015-06-02 11:26:17,2015-06-02 11:45:01,1,8.87,-73.95217895507811,40.7728385925293,1,N,-73.86441040039062,40.770069122314446,1,26.5,0.0,0.5,5.5,5.54,0.3,38.34
3036,2,2015-06-02 11:26:18,2015-06-02 11:41:41,1,3.75,-74.00872039794923,40.70909881591797,1,N,-73.97589874267578,40.733360290527344,1,15.0,0.0,0.5,1.0,0.0,0.3,16.8
3037,1,2015-06-02 11:26:19,2015-06-02 11:39:22,1,1.3,-73.98082733154298,40.76462936401367,1,N,-73.97704315185547,40.75182342529297,1,9.5,0.0,0.5,2.05,0.0,0.3,12.35
3038,2,2015-06-02 11:26:20,2015-06-02 11:38:25,6,0.93,-73.96063995361328,40.76158142089844,1,N,-73.96929931640625,40.76604080200195,2,8.5,0.0,0.5,0.0,0.0,0.3,9.3
3039,2,2015-06-02 11:26:21,2015-06-02 11:46:24,1,4.06,-73.97412109375,40.753730773925774,1,N,-73.9894027709961,40.719486236572266,1,17.0,0.0,0.5,3.56,0.0,0.3,21.36
3040,1,2015-06-02 11:26:22,2015-06-02 11:38:34,1,1.2,-73.98221588134764,40.77535629272461,1,N,-73.9666519165039,40.76561737060546,1,9.0,0.0,0.5,2.0,0.0,0.3,11.8
3041,2,2015-06-02 11:26:23,2015-06-02 11:37:36,2,2.26,-73.94537353515625,40.778369903564446,1,N,-73.9803466796875,40.78995513916016,1,10.5,0.0,0.5,2.26,0.0,0.3,13.56
3042,1,2015-06-02 11:26:23,2015-06-02 11:55:34,1,2.2,0.0,0.0,1,N,0.0,0.0,2,18.0,0.0,0.5,0.0,0.0,0.3,18.8
3043,2,2015-06-02 11:26:24,2015-06-02 11:38:50,1,1.66,-73.97733306884764,40.75802612304688,1,N,-73.99993896484375,40.758750915527344,1,9.5,0.0,0.5,2.06,0.0,0.3,12.36
3044,1,2015-06-02 11:26:25,2015-06-02 11:47:24,1,1.2,-73.96392822265625,40.75471878051758,1,N,-73.97106170654298,40.76677322387695,1,13.5,0.0,0.5,2.85,0.0,0.3,17.15
3045,1,2015-06-02 11:26:25,2015-06-02 11:52:31,1,3.0,-73.9846954345703,40.768604278564446,1,N,-73.99526977539062,40.73399353027344,2,17.0,0.0,0.5,0.0,0.0,0.3,17.8
3046,2,2015-06-02 11:26:26,2015-06-02 11:40:26,5,1.95,-73.97943878173827,40.781585693359375,1,N,-73.96475982666014,40.769916534423835,1,10.5,0.0,0.5,1.25,0.0,0.3,12.55
3047,1,2015-06-02 11:26:26,2015-06-02 11:32:32,2,0.8,-73.99118041992188,40.749847412109375,1,N,-74.00235748291014,40.74861526489258,1,6.0,0.0,0.5,1.35,0.0,0.3,8.15
3048,2,2015-06-02 11:26:27,2015-06-02 11:46:56,1,3.52,-73.9495391845703,40.77099609375,1,N,-73.98944854736328,40.7466049194336,1,17.0,0.0,0.5,1.0,0.0,0.3,18.8
3049,1,2015-06-02 11:26:28,2015-06-02 11:39:49,2,1.0,-73.98536682128906,40.75746536254882,1,N,-73.98444366455078,40.746673583984375,1,9.5,0.0,0.5,1.0,0.0,0.3,11.3
3050,1,2015-06-02 11:26:28,2015-06-02 11:56:51,1,1.0,-74.00066375732422,40.7618408203125,1,N,-73.98323822021484,40.7567138671875,1,18.0,0.0,0.5,3.76,0.0,0.3,22.56
3051,1,2015-06-02 11:26:29,2015-06-02 12:12:18,2,3.2,-73.99472045898438,40.75041580200195,1,N,-73.95988464355469,40.776634216308594,2,26.5,0.0,0.5,0.0,0.0,0.3,27.3
3052,1,2015-06-02 11:26:30,2015-06-02 11:34:02,1,1.1,-73.97286987304686,40.78588485717773,1,N,-73.97195434570312,40.798954010009766,1,7.0,0.0,0.5,1.55,0.0,0.3,9.35
3053,2,2015-06-02 11:26:31,2015-06-02 11:51:44,6,2.75,-73.95912170410156,40.7635612487793,1,N,-73.99087524414062,40.74885559082031,1,16.5,0.0,0.5,3.0,0.0,0.3,20.3
3054,2,2015-06-02 11:26:32,2015-06-02 11:39:08,2,2.94,-74.0104217529297,40.71899032592773,1,N,-73.99732208251953,40.75691986083984,1,12.0,0.0,0.5,0.0,0.0,0.3,12.8
3055,1,2015-06-02 11:26:33,2015-06-02 11:41:40,1,2.1,-73.9964370727539,40.75295639038086,1,N,-73.99165344238281,40.7314567565918,1,11.0,0.0,0.5,2.35,0.0,0.3,14.15
3056,1,2015-06-02 11:26:34,2015-06-02 12:20:52,1,6.2,-73.98995971679686,40.7412338256836,1,N,-73.93860626220702,40.81186676025391,1,33.0,0.0,0.5,5.0,0.0,0.3,38.8
3057,1,2015-06-02 11:26:35,2015-06-02 11:42:30,2,2.0,-73.97049713134764,40.75615692138672,1,N,-73.96186065673827,40.77958297729492,1,11.5,0.0,0.5,2.0,0.0,0.3,14.3
3058,1,2015-06-02 11:26:35,2015-06-02 11:48:32,2,3.2,-73.98895263671875,40.72295379638672,1,N,-73.98895263671875,40.72295379638672,2,15.5,0.0,0.5,0.0,0.0,0.3,16.3
3059,2,2015-06-02 11:26:36,2015-06-02 11:48:49,1,2.28,-73.98772430419923,40.75006103515625,1,N,-73.9970474243164,40.72483444213867,2,15.0,0.0,0.5,0.0,0.0,0.3,15.8
3060,2,2015-06-02 11:26:37,2015-06-02 12:11:46,1,3.13,-73.97006225585938,40.759613037109375,1,N,-74.00698852539062,40.741641998291016,2,26.0,0.0,0.5,0.0,0.0,0.3,26.8
3061,1,2015-06-02 11:26:38,2015-06-02 11:32:17,1,0.8,-73.97962951660156,40.7762107849121,1,N,-73.9903564453125,40.7752685546875,1,5.5,0.0,0.5,1.25,0.0,0.3,7.55
3062,2,2015-06-02 11:26:39,2015-06-02 12:01:48,5,11.38,-73.8730926513672,40.77423095703125,1,N,-73.99790954589844,40.721389770507805,1,35.0,0.0,0.5,7.16,0.0,0.3,42.96
3063,2,2015-06-02 11:26:39,2015-06-02 11:35:20,5,1.44,-73.9943618774414,40.74094009399414,1,N,-74.00016784667967,40.75299072265625,1,8.0,0.0,0.5,1.76,0.0,0.3,10.56
3064,2,2015-06-02 11:26:40,2015-06-02 11:44:30,6,0.77,-73.97113800048828,40.75777816772461,1,N,-73.98401641845702,40.760231018066406,1,11.5,0.0,0.5,2.0,0.0,0.3,14.3
3065,2,2015-06-02 11:26:41,2015-06-02 11:31:54,1,0.84,-73.98387145996092,40.74624633789063,1,N,-73.97828674316406,40.756832122802734,1,5.5,0.0,0.5,1.26,0.0,0.3,7.56
3066,1,2015-06-02 11:26:41,2015-06-02 11:26:46,1,1.6,-73.97528839111328,40.752227783203125,1,N,-73.97528839111328,40.752227783203125,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3
3067,1,2015-06-02 11:26:41,2015-06-02 11:38:20,1,1.2,-73.99172973632812,40.749813079833984,1,N,-73.98159790039062,40.75872421264648,2,8.5,0.0,0.5,0.0,0.0,0.3,9.3
3068,2,2015-06-02 11:26:42,2015-06-02 11:31:24,1,0.5,-73.99594116210938,40.6868896484375,1,N,-73.9925765991211,40.693939208984375,2,5.0,0.0,0.5,0.0,0.0,0.3,5.8
3069,2,2015-06-02 11:26:43,2015-06-02 11:37:12,1,1.38,-73.99044799804686,40.75629806518555,1,N,-73.97367858886719,40.76298522949219,1,8.5,0.0,0.5,1.86,0.0,0.3,11.16
3070,1,2015-06-02 11:26:44,2015-06-02 11:54:35,1,3.1,-73.96190643310547,40.75789260864258,1,N,-73.97637939453125,40.78878784179688,1,18.5,0.0,0.5,2.7,0.0,0.3,22.0
3071,2,2015-06-02 11:26:45,2015-06-02 12:02:07,1,3.32,-73.98959350585938,40.72034454345703,1,N,-73.98179626464844,40.75892639160156,1,22.0,0.0,0.5,4.56,0.0,0.3,27.36
3072,2,2015-06-02 11:26:46,2015-06-02 11:47:36,1,10.39,-73.97631072998048,40.75503158569336,1,N,-73.87254333496092,40.77430725097656,1,30.0,0.0,0.5,7.27,5.54,0.3,43.61
3073,2,2015-06-02 11:26:47,2015-06-02 11:49:00,2,1.33,-74.00830841064453,40.713970184326165,1,N,-73.99346160888672,40.72149658203125,1,13.5,0.0,0.5,3.58,0.0,0.3,17.88
3074,2,2015-06-02 11:26:48,2015-06-02 11:29:47,1,0.72,-73.95819091796875,40.77310943603516,1,N,-73.9547576904297,40.78171157836913,1,4.5,0.0,0.5,1.06,0.0,0.3,6.36
3075,2,2015-06-02 11:26:49,2015-06-02 11:38:12,5,0.94,-73.95580291748048,40.78195190429688,1,N,-73.96407318115233,40.77049255371094,1,8.5,0.0,0.5,2.32,0.0,0.3,11.62
3076,2,2015-06-02 11:26:50,2015-06-02 11:35:21,5,0.0,-73.96692657470702,40.77154922485352,1,N,-73.98316955566406,40.774311065673835,2,6.0,0.0,0.5,0.0,0.0,0.3,6.8
3077,2,2015-06-02 11:26:50,2015-06-02 11:34:00,1,0.46,-73.97718048095702,40.754100799560554,1,N,-73.98236083984375,40.75848007202149,1,6.0,0.0,0.5,1.36,0.0,0.3,8.16
3078,2,2015-06-02 11:26:51,2015-06-02 11:31:06,5,0.5,-74.00167846679686,40.74111175537109,1,N,-73.99346923828125,40.73767852783203,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3
3079,2,2015-06-02 11:26:51,2015-06-02 11:49:16,1,0.92,-73.99405670166014,40.75125503540039,1,N,-73.98332977294923,40.75653839111328,2,13.5,0.0,0.5,0.0,0.0,0.3,14.3
3080,2,2015-06-02 11:26:53,2015-06-02 11:41:50,2,2.54,-73.97219848632812,40.76517105102539,1,N,-73.9768829345703,40.78934097290039,2,12.0,0.0,0.5,0.0,0.0,0.3,12.8
3081,1,2015-06-02 11:26:54,2015-06-02 11:37:10,1,1.3,-73.96890258789062,40.75693130493164,1,N,-73.95397186279298,40.76519775390625,2,8.0,0.0,0.5,0.0,0.0,0.3,8.8
3082,1,2015-06-02 11:26:55,2015-06-02 11:34:46,1,1.4,-73.97453308105469,40.76278305053711,1,N,-73.9871826171875,40.74485778808594,2,7.0,0.0,0.5,0.0,0.0,0.3,7.8
3083,2,2015-06-02 11:26:55,2015-06-02 11:42:22,1,1.53,-73.9928207397461,40.73746109008789,1,N,-73.9847412109375,40.75413131713867,1,10.5,0.0,0.5,3.0,0.0,0.3,14.3
3084,2,2015-06-02 11:26:57,2015-06-02 12:10:52,1,3.84,-74.00828552246092,40.73133850097656,1,N,-73.96800994873048,40.76262283325195,1,25.5,0.0,0.5,5.26,0.0,0.3,31.56
3085,1,2015-06-02 11:26:58,2015-06-02 11:51:19,2,2.1,-73.98406982421875,40.77481842041016,1,N,-73.99172210693358,40.754642486572266,1,15.5,0.0,0.5,3.26,0.0,0.3,19.56
3086,2,2015-06-02 11:26:54,2015-06-02 12:04:00,1,5.94,-74.00421905517578,40.70725631713867,1,N,-73.96969604492188,40.76332092285156,1,28.0,0.0,0.5,5.76,0.0,0.3,34.56
3087,2,2015-06-02 11:26:58,2015-06-02 12:00:57,2,2.2,-73.98941040039062,40.7589111328125,1,N,-74.00762176513672,40.740989685058594,2,20.5,0.0,0.5,0.0,0.0,0.3,21.3
3088,2,2015-06-02 11:26:59,2015-06-02 11:52:46,1,1.87,-73.9858169555664,40.74055862426758,1,N,-73.96858978271484,40.76490020751953,1,16.0,0.0,0.5,3.36,0.0,0.3,20.16
3089,2,2015-06-02 11:26:59,2015-06-02 11:36:22,5,1.11,-74.01717376708984,40.705276489257805,1,N,-74.0150146484375,40.71404647827149,1,7.5,0.0,0.5,1.66,0.0,0.3,9.96
3090,1,2015-06-02 11:27:00,2015-06-02 11:34:44,1,1.0,-73.97494506835938,40.751686096191406,1,N,-73.97975158691406,40.73997116088867,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3
3091,2,2015-06-02 11:27:01,2015-06-02 11:41:32,5,1.41,-73.97756195068358,40.777950286865234,1,N,-73.96784973144531,40.76571273803711,2,10.5,0.0,0.5,0.0,0.0,0.3,11.3
3092,1,2015-06-02 11:27:03,2015-06-02 11:38:19,3,3.0,-73.86726379394531,40.76877212524414,1,N,-73.91725158691406,40.77095413208008,2,11.0,0.0,0.5,0.0,0.0,0.3,11.8
3093,1,2015-06-02 11:27:04,2015-06-02 11:39:42,1,0.9,-73.9650650024414,40.769336700439446,1,N,-73.9720001220703,40.76367950439453,2,9.0,0.0,0.5,0.0,0.0,0.3,9.8
3094,1,2015-06-02 11:27:05,2015-06-02 11:47:46,1,1.4,-73.98829650878906,40.741092681884766,1,N,-73.99082946777342,40.75577545166016,1,13.0,0.0,0.5,2.75,0.0,0.3,16.55
3095,1,2015-06-02 11:27:06,2015-06-02 11:33:04,1,1.0,-74.0085678100586,40.72175979614258,1,N,-73.99705505371094,40.72549819946289,1,6.0,0.0,0.5,1.36,0.0,0.3,8.16
3096,2,2015-06-02 11:27:07,2015-06-02 11:55:50,1,2.99,-73.9872817993164,40.7686882019043,1,N,-74.00375366210938,40.737579345703125,1,18.5,0.0,0.5,2.0,0.0,0.3,21.3
